HOXC4,POU2F1,PPI
HN1,SFPQ,PPI
HOXB1,HOXB1,PPI
HOXB1,PAX6,PPI
TEAD2,NCOA1,PPI
HAND2,HAND2,PPI
HAND2,HAND1,PPI
HMG20A,HMG20A,PPI
NUP160,NUP160,PPI
NUP160,POM121,PPI
UIMC1,NR6A1,PPI
UIMC1,SKIL,PPI
UIMC1,CEP57,PPI
OTX1,RBPMS,PPI
SLC7A11,SLC3A2,PPI
ZFHX3,MYB,PPI
CALR,NKX2-1,PPI
CALR,CALR,PPI
FRAT2,GSK3B,PPI
HIST1H2BH,HIST2H2BE,PPI
HIST1H2BH,HIST1H2BO,PPI
HIST2H2AC,HIST4H4,PPI
KIF15,VIM,PPI
KIF15,SH3GL3,PPI
SP4,SP1,PPI
ARF3,GGA1,PPI
UBR5,RELA,PPI
C19orf43,SNRPA,PPI
UBE2D3,SAT1,PPI
DNM2,KDR,PPI
DNM2,GRAP2,PPI
HIST1H4A,TAF12,PPI
ILF3,FUS,PPI
ILF3,ILF2,PPI
SET,HIST2H4A,PPI
SET,SET,PPI
SH3GL3,VIM,PPI
SH3GL3,SNRPN,PPI
SH3GL3,SH3GL3,PPI
ATF4,ATF3,PPI
ATF4,JUN,PPI
CDH3,CDH3,PPI
CDH3,JUP,PPI
IL2RG,STAT1,PPI
EN1,PAX6,PPI
EN1,JUN,PPI
RSF1,NFKB1,PPI
SGK3,GSK3A,PPI
SGK3,GSK3B,PPI
HIST1H1A,HIST4H4,PPI
PHAX,NCBP1,PPI
PHAX,SNRPD3,PPI
DVL2,RBPMS,PPI
DVL2,TP53,PPI
DVL2,CSNK1E,PPI
DVL2,DPPA2,PPI
DVL2,DVL2,PPI
FBXW11,FBXW11,PPI
FBXW11,RPRM,PPI
FBXW11,NFKB1,PPI
FBXW11,GLI2,PPI
GEMIN7,PHAX,PPI
GEMIN7,GEMIN7,PPI
GEMIN7,NCBP1,PPI
GEMIN7,SNRPD3,PPI
GEMIN7,WDR77,PPI
EXOSC9,EXOSC9,PPI
EXOSC5,SFPQ,PPI
EXOSC5,EXOSC9,PPI
PRNP,PRNP,PPI
PRNP,STIP1,PPI
MYF5,MYF5,PPI
PCDH8,PCDH8,PPI
LSM4,LSM3,PPI
LZTS2,RBPMS,PPI
TAL1,SP1,PPI
EAPP,UBQLN4,PPI
H2AFX,MDC1,PPI
H2AFX,H2AFX,PPI
BMP7,BMPR2,PPI
CBX3,CBX3,PPI
CBX3,TRIM24,PPI
CBX5,HDAC9,PPI
CBX5,TRIM24,PPI
CBX5,CBX3,PPI
PPP2R1B,SET,PPI
PPP2R1B,PPP2R5C,PPI
PPP2R1B,RELA,PPI
PPP2R1B,PPP2R1A,PPI
SASH1,SKIL,PPI
HIST2H2BE,HIST4H4,PPI
HIST2H2BE,HIST2H2AC,PPI
HIST2H2BE,SAP30,PPI
ETHE1,RIF1,PPI
ETHE1,RELA,PPI
CASP10,CASP10,PPI
TAF12,TAF15,PPI
TAF12,TAF12,PPI
PSEN2,PSEN2,PPI
PSEN2,DLL1,PPI
RBPMS,C2orf51,PPI
RBPMS,RBPMS,PPI
SOX2,PAX6,PPI
HSP90AB1,RPL30,PPI
HSP90AB1,HSP90AB1,PPI
HSP90AB1,TP53,PPI
HSP90AB1,STAT3,PPI
DLX1,SMAD4,PPI
ING4,RELA,PPI
ING4,TP53,PPI
NR6A1,NR6A1,PPI
GRAP2,RBPMS,PPI
POM121,RBPMS,PPI
POM121,POM121,PPI
ARL4D,UBR1,PPI
ARL4D,SNRPN,PPI
WWTR1,NKX2-1,PPI
DPPA4,SH3GL3,PPI
DPPA4,DPPA2,PPI
DPPA4,VIM,PPI
PYGM,PYGM,PPI
MED17,USP49,PPI
MED25,MED17,PPI
TCF7L2,JUN,PPI
ILF2,RELA,PPI
BRCA2,RAD23A,PPI
BRCA2,BUB1B,PPI
BRCA2,SMAD3,PPI
BRCA2,TP53,PPI
PAX6,RAX,PPI
LRP2,LRP2,PPI
RAD54B,RAD54B,PPI
CHN2,RASGRF2,PPI
CHN2,ARHGEF17,PPI
USP7,USP7,PPI
USP7,TRIM22,PPI
UBE2C,UBE2C,PPI
UBE2C,UBC,PPI
EPHA4,EPHA4,PPI
EPHA4,FGFR1,PPI
PSMB1,PSMC2,PPI
RAD23A,XPC,PPI
RAD23A,VIM,PPI
CALM2,PYGM,PPI
CALM2,MYF5,PPI
CALM2,ESR1,PPI
GGA1,SORT1,PPI
GGA1,GGA1,PPI
GGA1,SMAD3,PPI
RPL30,RPS29,PPI
RPL30,EEF2,PPI
RPL30,TRIM24,PPI
RPL30,RPL36A,PPI
RPL30,RPS18,PPI
RPL30,RPL9,PPI
RPL30,RPS26,PPI
RPL30,RPLP1,PPI
RPL30,EIF3F,PPI
RPL30,RPL7,PPI
RPL30,RPL30,PPI
RPL30,RPS3A,PPI
NFYA,TP53,PPI
NFYA,SP1,PPI
NFYA,JUN,PPI
XCL1,XCL1,PPI
EIF4G2,SKIL,PPI
EIF4G2,NCBP1,PPI
HDAC9,MORF4L2,PPI
BMPR2,SMAD4,PPI
BMPR2,TUBB,PPI
BMPR2,BMP2,PPI
BMPR2,C4BPA,PPI
BMPR2,BMPR2,PPI
WBP11,PCBP1,PPI
WBP11,VIM,PPI
WBP11,DDX17,PPI
SNRPA,SNRPD3,PPI
SNRPA,PHF5A,PPI
SNRPA,DHX38,PPI
SNRPA,HNRNPUL1,PPI
SNRPA,SF3B5,PPI
SNRPA,CLP1,PPI
SNRPA,SNRPA,PPI
RAB25,SMAD4,PPI
IFI16,TP53,PPI
ABLIM1,VIM,PPI
HIST1H3C,HIST1H3C,PPI
HIST1H3C,HIST1H4F,PPI
FRS2,FRS2,PPI
FRS2,FGF20,PPI
RORB,NCOA1,PPI
PHF5A,SF3B5,PPI
PHF5A,DHX38,PPI
PHF5A,CLP1,PPI
PHF5A,HNRNPUL1,PPI
PHF5A,PHF5A,PPI
DLL1,DLL1,PPI
SDHD,SDHD,PPI
SDHD,DLL1,PPI
STAP2,STAT3,PPI
USO1,GBF1,PPI
USO1,USO1,PPI
SIX3,PAX6,PPI
SIX3,TLE3,PPI
SIX3,NR4A3,PPI
SUFU,SUFU,PPI
SUFU,GLI1,PPI
SUFU,GLI3,PPI
SUFU,GLI2,PPI
SUFU,HNRNPA1,PPI
PSMC2,RAD23A,PPI
PSMC2,SKIL,PPI
PSMC2,TBP,PPI
CAPRIN1,CLP1,PPI
CAPRIN1,CAPRIN1,PPI
WDR77,SNRPD3,PPI
RIPK1,TUBB,PPI
RIPK1,RIPK1,PPI
RASGRF2,ARHGAP11A,PPI
RASGRF2,RASGRF2,PPI
NFIX,NFIX,PPI
NFIX,RFX1,PPI
MYO9A,RASGRF2,PPI
MYO9A,ARHGEF17,PPI
PIP5K1C,LRP2,PPI
BTK,BTK,PPI
BTK,RELA,PPI
BTK,PIP5K1C,PPI
GLI3,SMAD4,PPI
GLI3,ZIC2,PPI
GLI3,ZIC1,PPI
GLI3,SMAD3,PPI
GLI3,ZIC3,PPI
GSK3B,MUC1,PPI
GSK3B,TP53,PPI
GSK3B,IGF2BP1,PPI
GSK3B,PPP1R2,PPI
GSK3B,FOXO1,PPI
GSK3B,OGT,PPI
GSK3B,JUN,PPI
GSK3B,TUBG1,PPI
GSK3B,GSK3B,PPI
GSK3B,UBC,PPI
GSK3B,NOTCH1,PPI
GSK3B,NFKB1,PPI
SF3B5,SF3B5,PPI
SF3B5,DHX38,PPI
SF3B5,HNRNPUL1,PPI
SF3B5,CLP1,PPI
ARHGAP1,RASA1,PPI
ARHGAP1,ARHGAP1,PPI
ARHGAP1,HSP90AB1,PPI
ARHGAP1,RASGRF2,PPI
ARHGAP1,ARHGEF17,PPI
UBQLN4,RSRC2,PPI
UBQLN4,PNMA1,PPI
UBQLN4,PCDH17,PPI
UBQLN4,SCAF1,PPI
UBQLN4,RAD23A,PPI
UBQLN4,PCDH8,PPI
UBQLN4,UBQLN4,PPI
UBQLN4,FZD7,PPI
UBQLN4,HSPA13,PPI
COPB1,COPB1,PPI
COPB1,GBF1,PPI
COPB1,USO1,PPI
COPB1,RGS4,PPI
COPB1,UBQLN4,PPI
NCBP1,DHX38,PPI
NCBP1,FUS,PPI
NCBP1,SNRPA,PPI
NCBP1,NCBP1,PPI
NCBP1,SF3B5,PPI
NCBP1,PHF5A,PPI
NCBP1,HNRNPUL1,PPI
NCBP1,HNRNPL,PPI
NCBP1,CLP1,PPI
NCBP1,SNRPD3,PPI
STXBP2,SNRPD3,PPI
RIF1,SAT1,PPI
RIF1,VIM,PPI
RIF1,TDGF1,PPI
RIF1,PLEKHA4,PPI
RIF1,RPLP1,PPI
POLR3E,TBP,PPI
POLR3E,SNAPC1,PPI
POLR3E,POLR3E,PPI
UBC,UBC,PPI
RPL7,TRIM24,PPI
RPL7,RPS3A,PPI
RPL7,RPL9,PPI
RPL7,EIF3F,PPI
RPL7,RPS26,PPI
RPL7,RPS29,PPI
RPL7,RPLP1,PPI
RPL7,RPS18,PPI
RPL7,RPL7,PPI
GNAI1,GNAI1,PPI
GNAI1,GNA13,PPI
GNAI1,RGS10,PPI
GNAI1,RGS4,PPI
SNAPC3,POLR3E,PPI
SNAPC3,SNAPC1,PPI
SNAPC3,TBP,PPI
SNAPC3,SNAPC3,PPI
SNAPC1,SNAPC1,PPI
EIF3F,RPS26,PPI
EIF3F,EIF3F,PPI
EIF3F,RPL9,PPI
ATF6,YY1,PPI
ATF6,ATF6,PPI
DPPA2,DPPA2,PPI
VTA1,NBR1,PPI
VTA1,DPPA2,PPI
BUB3,UBC,PPI
BUB3,BUB3,PPI
BUB3,UBE2C,PPI
BUB3,XPC,PPI
BUB1B,UBE2C,PPI
BUB1B,UBC,PPI
BUB1B,BUB1B,PPI
BUB1B,BUB3,PPI
RPS29,RPS29,PPI
RPS29,TRIM24,PPI
RPS29,RPS26,PPI
RPS29,RPL9,PPI
RPS29,EIF3F,PPI
RPL36A,EIF3F,PPI
RPL36A,RPL7,PPI
RPL36A,TRIM24,PPI
RPL36A,RPS26,PPI
RPL36A,RPS18,PPI
RPL36A,RPS3A,PPI
RPL36A,RPL36A,PPI
RPL36A,RPL9,PPI
RPL36A,EEF2,PPI
RPL36A,RPLP1,PPI
RPL36A,RPS29,PPI
DDX5,ESR1,PPI
DDX5,DDX17,PPI
DDX5,SMAD3,PPI
DDX5,NCOA1,PPI
DDX5,TP53,PPI
TBL1XR1,HIST2H2BE,PPI
TBL1XR1,HIST2H4A,PPI
TBL1XR1,HIST1H4F,PPI
SAP30,HIST4H4,PPI
HIST1H2AL,SAP30,PPI
OGT,OGT,PPI
MTF2,SMAD3,PPI
PTPN2,STAT1,PPI
PAK1,HIST4H4,PPI
PAK1,FOXL2,PPI
PAK1,SMAD4,PPI
PAK1,HIST1H4A,PPI
PAK1,FRS2,PPI
PAK1,PAK1,PPI
SAT1,SAT1,PPI
SAT1,INO80C,PPI
SKIL,USP25,PPI
SKIL,TTF2,PPI
SKIL,SKIL,PPI
ANP32A,SET,PPI
SPAG9,SPAG9,PPI
FUS,CLP1,PPI
FUS,HNRNPUL1,PPI
FUS,HNRNPL,PPI
FUS,SNRPA,PPI
FUS,RELA,PPI
FUS,SF3B5,PPI
FUS,SNRPD3,PPI
FUS,DHX38,PPI
FUS,FUS,PPI
FUS,PHF5A,PPI
SFPQ,UBC,PPI
SFPQ,SFPQ,PPI
SFPQ,SNRPA,PPI
SFPQ,RELA,PPI
SFPQ,CLP1,PPI
SFPQ,FUS,PPI
SNURF,SP1,PPI
OSGEP,MUC1,PPI
RPS26,TRIM24,PPI
RPS26,RPS26,PPI
HNRNPL,HNRNPL,PPI
HNRNPL,SNRPA,PPI
HNRNPL,PHF5A,PPI
HNRNPL,DHX38,PPI
HNRNPL,HNRNPUL1,PPI
HNRNPL,SF3B5,PPI
HNRNPL,SNRPD3,PPI
HNRNPL,CLP1,PPI
RPS3A,RPS26,PPI
RPS3A,EIF3F,PPI
RPS3A,RPLP1,PPI
RPS3A,RPS18,PPI
RPS3A,TRIM24,PPI
RPS3A,RPL9,PPI
RPS3A,RPS29,PPI
RPS3A,RPS3A,PPI
LY96,RIPK1,PPI
LY96,LY96,PPI
TCF20,TCF20,PPI
TCF20,JUN,PPI
CER1,CER1,PPI
BMP2,SMAD4,PPI
BMP2,BMP2,PPI
BMP2,CER1,PPI
RPLP1,EIF3F,PPI
RPLP1,SAT1,PPI
RPLP1,RPS26,PPI
RPLP1,TRIM24,PPI
RPLP1,RPLP1,PPI
RPLP1,RPS29,PPI
RPLP1,RPL9,PPI
HNRNPK,HNRNPA1,PPI
HNRNPK,PCBP1,PPI
HNRNPK,HNRNPK,PPI
HNRNPK,FUS,PPI
HNRNPK,SF3B5,PPI
HNRNPK,PHF5A,PPI
HNRNPK,CLP1,PPI
HNRNPK,HNRNPUL1,PPI
HNRNPK,DIDO1,PPI
HNRNPK,DHX38,PPI
HNRNPK,SNRPD3,PPI
HNRNPK,SNRPA,PPI
HNRNPK,NCBP1,PPI
HNRNPK,GRAP2,PPI
HNRNPK,HNRNPL,PPI
HNRNPK,TBP,PPI
RBM23,ESR1,PPI
TRIM24,TRIM24,PPI
SNRPD3,SNRPD3,PPI
SNRPD3,LSM3,PPI
SNRPD3,CLP1,PPI
SNRPD3,PHF5A,PPI
SNRPD3,DHX38,PPI
SNRPD3,HNRNPUL1,PPI
SNRPD3,SF3B5,PPI
PCF11,SNRPA,PPI
PCF11,HNRNPUL1,PPI
PCF11,PHF5A,PPI
PCF11,PCBP1,PPI
PCF11,HNRNPC,PPI
PCF11,PCF11,PPI
PCF11,HNRNPL,PPI
PCF11,DHX38,PPI
PCF11,SF3B5,PPI
PCF11,SFPQ,PPI
PCF11,CLP1,PPI
PCF11,FUS,PPI
PCF11,HNRNPA1,PPI
PCF11,CAPRIN1,PPI
PCF11,NCBP1,PPI
PCF11,HNRNPA2B1,PPI
PCF11,HNRNPK,PPI
PCF11,SNRPD3,PPI
DACH1,SMAD4,PPI
RPL9,RPS26,PPI
RPL9,TRIM24,PPI
RPL9,RPL9,PPI
EEF2,RPLP1,PPI
EEF2,RPS3A,PPI
EEF2,RAD23A,PPI
EEF2,TRIM24,PPI
EEF2,RPS29,PPI
EEF2,EEF2,PPI
EEF2,RPS26,PPI
EEF2,RPL7,PPI
EEF2,RPS18,PPI
EEF2,RPL9,PPI
ARHGEF17,ARHGAP11A,PPI
ARHGEF17,ARHGEF17,PPI
MDC1,MDC1,PPI
TPM3,TPM3,PPI
HNRNPC,LMO3,PPI
HNRNPC,PHF5A,PPI
HNRNPC,NCBP1,PPI
HNRNPC,HNRNPK,PPI
HNRNPC,SF3B5,PPI
HNRNPC,FUS,PPI
HNRNPC,HNRNPC,PPI
HNRNPC,SNRPA,PPI
HNRNPC,CLP1,PPI
HNRNPC,SNRPD3,PPI
HNRNPC,HNRNPA1,PPI
HNRNPC,PCBP1,PPI
HNRNPC,HNRNPL,PPI
HNRNPC,HNRNPUL1,PPI
HNRNPC,DHX38,PPI
HNRNPUL1,HNRNPUL1,PPI
PCBP1,SNRPD3,PPI
PCBP1,CLP1,PPI
PCBP1,HNRNPL,PPI
PCBP1,PHF5A,PPI
PCBP1,PCBP1,PPI
PCBP1,NCBP1,PPI
PCBP1,SF3B5,PPI
PCBP1,DHX38,PPI
PCBP1,FUS,PPI
PCBP1,SNRPA,PPI
PCBP1,HNRNPUL1,PPI
XPC,XPC,PPI
XPC,LSM3,PPI
SNRPN,SNRPD3,PPI
SNRPN,COG8,PPI
